code,name_eng,name_kor
NFK,"Norfolk Island","노퍽섬"
MNP,"Northern Mariana Islands","북마리아나 제도"
NOR,"Norway","노르웨이"
PSE,"Palestinian Territories","팔레스타인"
OMN,"Oman","오만"
PAK,"Pakistan","파키스탄"
PLW,"Palau","팔라우"
PAN,"Panama","파나마"
PNG,"Papua New Guinea","파푸아뉴기니"
PRY,"Paraguay","파라과이"
PER,"Peru","페루"
PHL,"Philippines","필리핀"
PCN,"Pitcairn Islands","핏케언 제도"
POL,"Poland","폴란드"
PRT,"Portugal","포르투갈"
PRI,"Puerto Rico","푸에르토리코"
QAT,"Qatar","카타르"
REU,"Reunion","레위니옹"
ROM,"Romania","루마니아"
RUS,"Russia","러시아"
RWA,"Rwanda","르완다"
SHN,"Saint Helena","세인트헬레나"
KNA,"Saint Kitts and Nevis","세인트키츠 네비스"
LCA,"Saint Lucia","세인트루시아"
SPM,"Saint Pierre and Miquelon","생피에르 미클롱"
VCT,"Saint Vincent and the Grenadines","세인트빈센트 그레나딘"
WSM,"Samoa","사모아"
SMR,"San Marino","산마리노"
STP,"Sao Tome and Principe","상투메 프린시페"
SAU,"Saudi Arabia","사우디아라비아"
SEN,"Senegal","세네갈"
SRB,"Serbia","세르비아"
SYC,"Seychelles","세이셸"
SLE,"Sierra Leone","시에라리온"
SGP,"Singapore","싱가포르"
SVK,"Slovakia","슬로바키아"
SVN,"Slovenia","슬로베니아"
SLB,"Solomon Islands","솔로몬 제도"
SOM,"Somalia","소말리아"
ZAF,"South Africa","남아프리카 공화국"
ESP,"Spain","스페인"
LKA,"Sri Lanka","스리랑카"
SDN,"Sudan","수단"
SUR,"Suriname","수리남"
SJM,"Svalbard","스발바르 얀마옌"
SWZ,"Eswatini","에스와티니"
SWE,"Sweden","스웨덴"
CHE,"Switzerland","스위스"
SYR,"Syria","시리아"
TWN,"Taiwan","대만"
TJK,"Tajikistan","타지키스탄"
TZA,"Tanzania","탄자니아"
THA,"Thailand","태국"
TGO,"Togo","토고"
TKL,"Tokelau","토켈라우"
TON,"Tonga","통가"
TTO,"Trinidad and Tobago","트리니다드 토바고"
TUN,"Tunisia","튀니지"
TUR,"Turkey","튀르키예"
TKM,"Turkmenistan","투르크메니스탄"
TCA,"Turks and Caicos Islands","터크스 케이커스 제도"
TUV,"Tuvalu","투발루"
UGA,"Uganda","우간다"
UKR,"Ukraine","우크라이나"
ARE,"United Arab Emirates","아랍에미리트"
GBR,"United Kingdom","영국"
USA,"United States","미국"
VIR,"Virgin Islands, U.S.","미국령 버진아일랜드"
URY,"Uruguay","우루과이"
UZB,"Uzbekistan","우즈베키스탄"
VUT,"Vanuatu","바누아투"
VEN,"Venezuela","베네수엘라"
VNM,"Vietnam","베트남"
WLF,"Wallis and Futuna","왈리스 푸투나"
ESH,"Western Sahara","서사하라"
YEM,"Yemen","예멘"
ZMB,"Zambia","잠비아"
ZWE,"Zimbabwe","짐바브웨"
WSB,"West Bank","웨스트뱅크"
BAG,"Baghdad","바그다드"
GZS,"Gaza Strip","가자 지구"
AFR,"Africa","아프리카"
ASA,"Asia","아시아"
BLK,"Balkans","발칸"
CRB,"Caribbean","카리브"
CAU,"Caucasus","캅카스"
CFR,"Central Africa","중앙아프리카"
CAS,"Central Asia","중앙아시아"
CEU,"Central Europe","중부유럽"
EIN,"East Indies","동인도"
EAF,"Eastern Africa","동아프리카"
EEU,"Eastern Europe","동유럽"
EUR,"Europe","유럽"
LAM,"Latin America","라틴아메리카"
MEA,"Middle East","중동"
MDT,"Mediterranean","지중해"
NAF,"North Africa","북아프리카"
NMR,"North America","북아메리카"
PGS,"Persian Gulf","페르시아만"
SCN,"Scandinavia","스칸디나비아"
SAM,"South America","남아메리카"
SAS,"South Asia","남아시아"
SEA,"Southeast Asia","동남아시아"
SAF,"Southern Africa","남아프리카"
WAF,"West Africa","서아프리카"
WST,"The West","서방"
